      5.1875     -0.9371      0.2230
      5.1979     -0.8196      0.2342
      5.2083     -0.7661      0.2930
      5.2188     -0.7963      0.3722
      5.2292     -0.7504      0.3263
      5.2396     -0.6817      0.2941
      5.2500     -0.6058      0.2553
      5.2604     -0.5149      0.2378
      5.2708     -0.4182      0.1897
      5.2813     -0.3170      0.1411
      5.2917     -0.2054      0.1218
      5.3021     -0.0969      0.0996
      5.3125     -0.0011      0.0754
      5.3229      0.0752      0.0499
      5.3333      0.1227     -0.0125
      5.3438      0.2335     -0.1785
      5.3542      0.4799     -0.3269
      5.3646      0.6796     -0.3825
      5.3750      0.7782     -0.4181
      5.3854      0.8424     -0.4583
      5.3958      0.9046     -0.4870
      5.4063      0.9134     -0.5169
      5.4167      0.9069     -0.5748
      5.4271      0.9549     -0.6296
      5.4375      1.0075     -0.5824
      5.4479      0.9210     -0.5005
      5.4583      0.8386     -0.5155
      5.4688      0.7993     -0.5021
      5.4792      0.7321     -0.4608
      5.4896      0.6399     -0.4047
      5.5000      0.5365     -0.3414
      5.5104      0.4200     -0.2919
      5.5208      0.3064     -0.2526
      5.5313      0.1931     -0.2103
      5.5417      0.0772     -0.1661
      5.5521     -0.0415     -0.1233
      5.5625     -0.1553     -0.0859
      5.5729     -0.2703     -0.0364
      5.5833     -0.3892      0.0182
      5.5938     -0.5312      0.1011
      5.6042     -0.6397      0.1043
      5.6146     -0.7750      0.1069
      5.6250     -0.8879      0.1164
      5.6354     -1.0375      0.2171
      5.6458     -0.9615      0.3883
      5.6563     -0.8965      0.3296
      5.6667     -0.8769      0.2875
      5.6771     -0.8144      0.2002
      5.6875     -0.8289      0.1418
      5.6979     -0.8417      0.0968
      5.7083     -0.8091      0.0981
      5.7188     -0.7764      0.1174
      5.7292     -0.7591      0.0653
      5.7396     -0.6691      0.1448
      5.7500     -0.5300      0.2370
      5.7604     -0.4316      0.1972
      5.7708     -0.3234      0.1768
      5.7813     -0.2018      0.1422
      5.7917     -0.0776      0.0917
      5.8021      0.0432      0.0265
      5.8125      0.1532     -0.0541
      5.8229      0.2530     -0.1562
      5.8333      0.3640     -0.2782
      5.8438      0.5052     -0.4002
      5.8542      0.6859     -0.4721
      5.8646      0.8451     -0.5331
      5.8750      0.9286     -0.6236
      5.8854      0.9965     -0.6727
      5.8958      1.0180     -0.6921
      5.9063      1.0288     -0.7016
      5.9167      1.0453     -0.6802
      5.9271      1.0117     -0.6472
      5.9375      0.9589     -0.6456
      5.9479      0.9108     -0.6344
      5.9583      0.8683     -0.5737
      5.9688      0.8397     -0.4681
      5.9792      0.7796     -0.3866
      5.9896      0.7483     -0.3495
      6.0000      0.6354     -0.4084
      6.0104      0.5636     -0.3624
      6.0208      0.4666     -0.3368
